CIDR = Classless Inter-Domain Routing

Notation	Adressen		Nutzbare Hostadressen		Subnetzmaske (dezimal)		Subnetzmaske (binär)				
/o		4.294.967.296		-				0.0.0.0				00000000.00000000.00000000.00000000
/1		2.147.483.648		-				128.0.0.0			10000000.00000000.00000000.00000000
/2		1.073.741.824		-				192.0.0.0			11000000.00000000.00000000.00000000
/3		536.870.912		-				224.0.0.0			11100000.00000000.00000000.00000000
/4		268.435.456		-				240.0.0.0			11110000.00000000.00000000.00000000
/5		134.217.728		-				248.0.0.0			11111000.00000000.00000000.00000000
/6		67.108.864		-				252.0.0.0			11111100.00000000.00000000.00000000
/7		33.554.432		-				254.0.0.0			11111110.00000000.00000000.00000000
/8		16.777.216		16.777.214			255.0.0.0			11111111.00000000.00000000.00000000
/9		8.388.608		8.388.606			255.128.0.0			11111111.10000000.00000000.00000000
/10		4.194.304		4.194.302			255.192.0.0			11111111.11000000.00000000.00000000
/11		2.097.152		2.097.150			255.224.0.0			11111111.11100000.00000000.00000000
/12		1.048.576		1.048.574			255.240.0.0			11111111.11110000.00000000.00000000
/13		524.288			524.286				255.248.0.0			11111111.11111000.00000000.00000000
/14		262.144			262.142				255.252.0.0			11111111.11111100.00000000.00000000
/15		131.072			131.070				255.254.0.0			11111111.11111110.00000000.00000000
/16		65.536			65.534				255.255.0.0			11111111.11111111.00000000.00000000
/17		32.768			32.766				255.255.128.0			11111111.11111111.10000000.00000000
/18		16.384			16.382				255.255.192.0			11111111.11111111.11000000.00000000
/19		8.192			8.190				255.255.224.0			11111111.11111111.11100000.00000000
/20		4.096			4.094				255.255.240.0			11111111.11111111.11110000.00000000
/21		2.048			2.046				255.255.248.0			11111111.11111111.11111000.00000000
/22		1.024			1.022				255.255.252.0			11111111.11111111.11111100.00000000
/23		512			510				255.255.254.0			11111111.11111111.11111110.00000000
/24		256			254				255.255.255.0			11111111.11111111.11111111.00000000
/25		128			126				255.255.255.128			11111111.11111111.11111111.10000000
/26		64			62				255.255.255.192			11111111.11111111.11111111.11000000
/27		32			30				255.255.255.224			11111111.11111111.11111111.11100000
/28		16			14				255.255.255.240			11111111.11111111.11111111.11110000
/29		8			6				255.255.255.248			11111111.11111111.11111111.11111000
/30		4			2				255.255.255.252			11111111.11111111.11111111.11111100
/31		2			0				255.255.255.254			11111111.11111111.11111111.11111110
/32		1			0				255.255.255.255			11111111.11111111.11111111.11111111
